intra_inertia,inter_inertia,nmi,silhouette,runtime_s,n_iter,algorithm,dataset,k,n,seed
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0024028000007092487,7,KMeans,breast_cancer,2,569,0
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004115199997613672,7,KMeans,breast_cancer,2,569,1
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.009521200001472607,7,KMeans,breast_cancer,2,569,2
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0018282999990333337,5,KMeans,breast_cancer,2,569,3
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002808000001095934,7,KMeans,breast_cancer,2,569,4
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002312999997229781,7,KMeans,breast_cancer,2,569,5
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0017353000002913177,6,KMeans,breast_cancer,2,569,6
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002652200000738958,6,KMeans,breast_cancer,2,569,7
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0022352999985741917,7,KMeans,breast_cancer,2,569,8
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0033148000002256595,9,KMeans,breast_cancer,2,569,9
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.005003700000088429,10,KMeans++,breast_cancer,2,569,0
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.006649499999184627,7,KMeans++,breast_cancer,2,569,1
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004394800002046395,10,KMeans++,breast_cancer,2,569,2
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0054156000005605165,11,KMeans++,breast_cancer,2,569,3
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004741900000226451,8,KMeans++,breast_cancer,2,569,4
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.003930999999283813,8,KMeans++,breast_cancer,2,569,5
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.005085000000690343,11,KMeans++,breast_cancer,2,569,6
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004245500000251923,9,KMeans++,breast_cancer,2,569,7
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004438100000697887,9,KMeans++,breast_cancer,2,569,8
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004368199999589706,8,KMeans++,breast_cancer,2,569,9
242.7935575965734,124.59149702374367,0.6409417409525217,0.3749247229203642,0.0787982000001648,3,PAM,breast_cancer,2,569,0
242.7935575965734,124.59149702374367,0.6409417409525218,0.3749247229203642,0.07877160000134609,3,PAM,breast_cancer,2,569,1
242.7935575965734,124.59149702374367,0.6409417409525217,0.3749247229203642,0.04915970000001835,2,PAM,breast_cancer,2,569,2
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04628519999823766,2,PAM,breast_cancer,2,569,3
242.7935575965734,124.59149702374367,0.6409417409525218,0.3749247229203642,0.06067620000249008,3,PAM,breast_cancer,2,569,4
338.625459306967,39.95559236051746,0.08685374472971402,0.13505284039814083,0.03951470000174595,2,PAM,breast_cancer,2,569,5
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04617359999974724,2,PAM,breast_cancer,2,569,6
242.7935575965734,124.59149702374367,0.6409417409525217,0.3749247229203642,0.07565759999852162,3,PAM,breast_cancer,2,569,7
242.7935575965734,124.59149702374367,0.6409417409525218,0.3749247229203642,0.08307219999915105,3,PAM,breast_cancer,2,569,8
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.09124289999817847,3,PAM,breast_cancer,2,569,9
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.05532850000236067,9,KMM,breast_cancer,2,569,0
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.05215150000003632,9,KMM,breast_cancer,2,569,1
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04544930000338354,9,KMM,breast_cancer,2,569,2
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04673410000032163,7,KMM,breast_cancer,2,569,3
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.056888199997047195,9,KMM,breast_cancer,2,569,4
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.0497159999977157,9,KMM,breast_cancer,2,569,5
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04869659999894793,8,KMM,breast_cancer,2,569,6
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04397090000202297,8,KMM,breast_cancer,2,569,7
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.045449099998222664,9,KMM,breast_cancer,2,569,8
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04647099999783677,11,KMM,breast_cancer,2,569,9
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.06798100000014529,12,KMM++,breast_cancer,2,569,0
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04821589999846765,9,KMM++,breast_cancer,2,569,1
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.050599400001374306,12,KMM++,breast_cancer,2,569,2
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04688940000050934,13,KMM++,breast_cancer,2,569,3
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04629260000001523,10,KMM++,breast_cancer,2,569,4
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04864799999995739,10,KMM++,breast_cancer,2,569,5
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.05202840000129072,13,KMM++,breast_cancer,2,569,6
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.053967399999237387,11,KMM++,breast_cancer,2,569,7
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.04588839999996708,11,KMM++,breast_cancer,2,569,8
238.60056208633887,138.0642589654397,0.6199154690877006,0.3881153206998851,0.44109929999831365,10,KMM++,breast_cancer,2,569,9
